idIngreso,fecha,hora,sucursal,producto,ingreso,metodoPago,usuario
44,2022-01-30,15:01,Colombia,producto 6,311139.06923076924,efectivo,usuario 3
45,2022-01-30,19:16,Argentina,producto 3,2784216.456,tarjeta de debito,usuario 2
46,2022-01-31,20:35,Colombia,producto 8,16854.075,tarjeta de debito,usuario 4
47,2022-01-31,16:52,Colombia,producto 9,99493.0695,transferencia,usuario 1
48,2022-01-31,13:56,Perú,producto 7,72371.63160000001,codigo QR,usuario 3
49,2022-01-31,19:16,Argentina,producto 8,67229.73000000001,efectivo,usuario 1
50,2022-01-31,20:22,Ecuador,producto 5,14776.776,otro,usuario 2
51,2022-02-01,14:07,Ecuador,producto 10,8308.566,codigo QR,usuario 2
52,2022-02-01,20:03,Colombia,producto 2,821303.8470000001,transferencia,usuario 4
53,2022-02-03,09:26,Perú,producto 1,99069.23076923077,efectivo,usuario 2
54,2022-02-03,14:37,Colombia,producto 7,14346.882,codigo QR,usuario 5
55,2022-02-05,18:33,Colombia,producto 8,81841.96800000001,otro,usuario 2
56,2022-02-05,16:01,Perú,producto 3,599248.44,codigo QR,usuario 5
57,2022-02-06,16:08,Argentina,producto 10,59847.12,transferencia,usuario 5
58,2022-02-08,21:37,Argentina,producto 6,309099.3230769231,tarjeta de credito,usuario 3
59,2022-02-08,21:39,Colombia,producto 1,1043280.0,tarjeta de credito,usuario 1
60,2022-02-08,14:26,Ecuador,producto 10,617678.2710000001,codigo QR,usuario 5
61,2022-02-08,15:31,México,producto 7,611914.5,efectivo,usuario 1
62,2022-02-08,18:32,Argentina,producto 2,24942.06,tarjeta de debito,usuario 1
63,2022-02-09,19:13,Ecuador,producto 3,42725.080125,otro,usuario 3
64,2022-02-09,12:33,México,producto 6,12046.7088,codigo QR,usuario 4
65,2022-02-10,15:40,Perú,producto 1,22620.960000000003,otro,usuario 3
66,2022-02-11,11:25,Colombia,producto 8,14612.4,transferencia,usuario 2
67,2022-02-11,11:27,Perú,producto 1,1198127.7,transferencia,usuario 3
68,2022-02-12,22:53,México,producto 5,29590.11,codigo QR,usuario 3
69,2022-02-12,18:41,Ecuador,producto 8,21955.752,efectivo,usuario 4
70,2022-02-13,13:04,Ecuador,producto 6,730620.0,tarjeta de debito,usuario 3
71,2022-02-13,18:17,Ecuador,producto 5,289564.84800000006,tarjeta de debito,usuario 1
72,2022-02-14,20:00,Ecuador,producto 4,224120.76923076922,efectivo,usuario 4
73,2022-02-14,17:45,Colombia,producto 7,15864.97374,otro,usuario 1
74,2022-02-15,12:09,Colombia,producto 3,85249.8864,tarjeta de credito,usuario 4
75,2022-02-15,11:15,Ecuador,producto 3,25468.67232,efectivo,usuario 3
76,2022-02-16,17:30,México,producto 2,1828.81314,tarjeta de debito,usuario 4
77,2022-02-16,16:31,Ecuador,producto 2,53048.62584,codigo QR,usuario 2
78,2022-02-16,17:26,Colombia,producto 3,21266.388,tarjeta de credito,usuario 1
79,2022-02-17,11:12,Argentina,producto 1,3038.72688,tarjeta de credito,usuario 3
80,2022-02-17,15:10,Ecuador,producto 1,116626.43519999999,codigo QR,usuario 3
81,2022-02-17,19:09,Ecuador,producto 7,431040.771,transferencia,usuario 2
82,2022-02-20,16:00,Perú,producto 6,3227.58,otro,usuario 5
83,2022-02-20,22:31,México,producto 3,94639.644,otro,usuario 5
84,2022-02-20,14:20,México,producto 5,185992.2,transferencia,usuario 3
85,2022-02-20,21:07,Ecuador,producto 8,124228.7442,tarjeta de debito,usuario 2
86,2022-02-21,12:39,Colombia,producto 4,254191.5,efectivo,usuario 5
87,2022-02-24,11:18,Perú,producto 9,14111.604,codigo QR,usuario 4
88,2022-02-24,17:12,Argentina,producto 7,12503.2896,tarjeta de credito,usuario 3
89,2022-02-24,17:07,Perú,producto 4,8190.072,codigo QR,usuario 4
90,2022-02-25,18:35,México,producto 2,502678.2115384615,efectivo,usuario 2
91,2022-02-26,09:57,Colombia,producto 7,15937.74,codigo QR,usuario 1
92,2022-02-28,15:30,Argentina,producto 8,765021.348,efectivo,usuario 5
93,2022-02-28,18:14,Colombia,producto 6,9849.6,tarjeta de debito,usuario 4
94,2022-03-02,10:32,Ecuador,producto 6,118913.76,otro,usuario 5
95,2022-03-03,10:56,Argentina,producto 6,1153115.5545,tarjeta de credito,usuario 1
96,2022-03-04,21:39,México,producto 2,84214.03846153847,otro,usuario 2
97,2022-03-05,13:53,Argentina,producto 10,43015.05,efectivo,usuario 2
98,2022-03-06,19:14,Argentina,producto 6,83555.22384,tarjeta de debito,usuario 1
99,2022-03-08,21:37,Perú,producto 2,15110.550000000001,transferencia,usuario 3
100,2022-03-10,21:03,Perú,producto 10,47050.1136,tarjeta de debito,usuario 2
101,2022-03-11,19:39,México,producto 1,8871.156,tarjeta de debito,usuario 4
102,2022-03-12,12:31,México,producto 4,35794.575000000004,tarjeta de credito,usuario 1
103,2022-03-12,13:51,México,producto 10,2629074.4200000004,codigo QR,usuario 2
104,2022-03-12,12:17,Argentina,producto 10,206193.6,efectivo,usuario 1
105,2022-03-12,16:05,México,producto 8,125307.0,codigo QR,usuario 2
106,2022-03-13,14:50,Argentina,producto 8,15157.295999999998,otro,usuario 2
107,2022-03-14,09:21,Argentina,producto 2,44783.653846153844,codigo QR,usuario 3
108,2022-03-16,16:23,Argentina,producto 2,409388.9149038461,transferencia,usuario 1
109,2022-03-17,13:23,Argentina,producto 6,635040.0,tarjeta de debito,usuario 5
110,2022-03-18,17:07,Perú,producto 9,99517.06730769231,otro,usuario 1
111,2022-03-18,22:57,Colombia,producto 4,776506.5,codigo QR,usuario 1
112,2022-03-18,16:13,Ecuador,producto 3,605254.68,otro,usuario 3
113,2022-03-19,13:31,Perú,producto 2,6253.5563999999995,tarjeta de debito,usuario 2
114,2022-03-20,17:11,Colombia,producto 10,400033.9471153846,tarjeta de credito,usuario 2
115,2022-03-21,18:32,Ecuador,producto 8,1757892.3165865387,codigo QR,usuario 4
116,2022-03-22,15:48,Colombia,producto 8,8042.76,tarjeta de credito,usuario 1
117,2022-03-22,14:49,Colombia,producto 3,93426.49038461538,tarjeta de debito,usuario 3
118,2022-03-22,14:46,Ecuador,producto 4,68963.40000000001,otro,usuario 4
119,2022-03-23,17:31,Perú,producto 10,103661.98425,efectivo,usuario 5
120,2022-03-23,22:09,Argentina,producto 4,172695.6,otro,usuario 2
121,2022-03-24,20:00,Argentina,producto 4,367479.0,efectivo,usuario 3
122,2022-03-26,13:54,Colombia,producto 6,18715.32,efectivo,usuario 2
123,2022-03-31,10:58,Colombia,producto 6,655735.5,codigo QR,usuario 2
124,2022-03-31,21:11,Perú,producto 7,1517.04,otro,usuario 2
125,2022-03-31,20:03,Colombia,producto 3,119750.40000000001,otro,usuario 4
126,2022-03-31,21:58,Colombia,producto 7,618178.176,codigo QR,usuario 2
127,2022-04-01,21:56,Colombia,producto 3,12718.080000000002,tarjeta de credito,usuario 5
128,2022-04-01,13:55,México,producto 5,16093.664999999999,codigo QR,usuario 2
129,2022-04-01,17:13,Ecuador,producto 8,13145.539680000002,transferencia,usuario 4
130,2022-04-02,12:41,Perú,producto 9,27137.7,otro,usuario 2
131,2022-04-02,09:42,Perú,producto 7,2063.88,tarjeta de credito,usuario 1
132,2022-04-03,11:34,Argentina,producto 3,1489.572,otro,usuario 2
133,2022-04-03,13:20,Argentina,producto 4,19559.34,transferencia,usuario 5
134,2022-04-03,22:29,Ecuador,producto 3,73205.66484000003,efectivo,usuario 2
135,2022-04-04,14:29,Ecuador,producto 10,442965.60000000003,tarjeta de debito,usuario 5
136,2022-04-05,16:54,Perú,producto 8,22620.960000000003,transferencia,usuario 1
137,2022-04-06,14:18,Colombia,producto 1,14581.555199999999,efectivo,usuario 2
138,2022-04-07,17:21,Argentina,producto 7,223370.48076923075,efectivo,usuario 2
139,2022-04-07,10:00,Argentina,producto 8,932062.9500000001,codigo QR,usuario 2
140,2022-04-07,15:15,Argentina,producto 5,675638.064,tarjeta de credito,usuario 3
141,2022-04-08,16:03,Colombia,producto 3,8696.16,efectivo,usuario 1
142,2022-04-08,19:26,Argentina,producto 2,18922.896,tarjeta de credito,usuario 3
143,2022-04-10,17:39,México,producto 8,318622.68,codigo QR,usuario 4
144,2022-04-10,22:24,Argentina,producto 8,95528.08980000002,tarjeta de debito,usuario 3
145,2022-04-11,19:09,Argentina,producto 1,165186.0,tarjeta de debito,usuario 1
146,2022-04-12,21:03,Colombia,producto 1,8696.16,efectivo,usuario 2
147,2022-04-13,16:16,Colombia,producto 10,234934.26923076922,codigo QR,usuario 1
148,2022-04-15,19:57,México,producto 2,9596.16,codigo QR,usuario 1
149,2022-04-16,11:23,Colombia,producto 6,97032.1275,transferencia,usuario 3
150,2022-04-16,09:52,México,producto 2,30701.160000000003,tarjeta de debito,usuario 5
151,2022-04-17,14:18,Ecuador,producto 1,672036.75,efectivo,usuario 3
152,2022-04-18,21:28,Ecuador,producto 5,30513.624750000003,efectivo,usuario 2
153,2022-04-19,14:04,Perú,producto 3,30990.715200000006,otro,usuario 1
154,2022-04-19,16:56,Colombia,producto 1,2003146.2,tarjeta de credito,usuario 3
155,2022-04-20,12:36,Argentina,producto 8,29364.525,transferencia,usuario 1
156,2022-04-20,18:58,Argentina,producto 6,23751.9,efectivo,usuario 5
157,2022-04-21,18:18,Ecuador,producto 8,242902.80000000002,tarjeta de debito,usuario 5
158,2022-04-22,16:44,Colombia,producto 4,7114.338,efectivo,usuario 2
159,2022-04-24,19:03,Argentina,producto 4,25492.32,efectivo,usuario 2
160,2022-04-24,15:54,Perú,producto 4,241328.20673076925,efectivo,usuario 2
161,2022-04-26,11:26,Ecuador,producto 2,15826.832999999999,tarjeta de credito,usuario 4
162,2022-04-26,11:55,Ecuador,producto 6,19914.876,tarjeta de credito,usuario 3
163,2022-04-27,13:08,Colombia,producto 8,20234.61,tarjeta de credito,usuario 3
164,2022-04-27,18:38,Ecuador,producto 10,46029.06,tarjeta de credito,usuario 4
165,2022-04-28,20:07,Ecuador,producto 3,282005.91346153844,codigo QR,usuario 2
166,2022-04-29,10:21,Colombia,producto 6,937440.0,tarjeta de debito,usuario 2
167,2022-04-29,15:30,Ecuador,producto 8,43931.16,tarjeta de debito,usuario 3
168,2022-04-29,22:56,Argentina,producto 2,119153.96999999999,codigo QR,usuario 2
169,2022-04-29,16:34,Perú,producto 6,23988.600720000002,tarjeta de credito,usuario 1
170,2022-04-29,13:27,Colombia,producto 1,11143.202400000002,tarjeta de debito,usuario 2
171,2022-04-30,16:01,México,producto 4,69897.65192307693,codigo QR,usuario 1
172,2022-05-02,21:24,México,producto 3,11473.056,transferencia,usuario 5
173,2022-05-03,18:04,Argentina,producto 2,349462.4278846154,tarjeta de credito,usuario 2
174,2022-05-03,17:09,Perú,producto 5,17717.4,codigo QR,usuario 1
175,2022-05-03,17:39,Perú,producto 4,1010671.9920000001,efectivo,usuario 5
176,2022-05-03,13:37,Colombia,producto 10,27643.896,efectivo,usuario 3
177,2022-05-03,19:33,Ecuador,producto 8,74058.3648,otro,usuario 1
178,2022-05-04,12:56,México,producto 9,246281.53846153844,tarjeta de debito,usuario 2
179,2022-05-05,21:16,México,producto 10,2618.54775,tarjeta de debito,usuario 4
180,2022-05-05,19:47,Argentina,producto 4,116162.30769230769,tarjeta de credito,usuario 4
181,2022-05-05,18:56,Ecuador,producto 7,47684.17080000001,tarjeta de debito,usuario 5
182,2022-05-05,16:14,México,producto 2,734718.6,codigo QR,usuario 3
183,2022-05-06,16:34,Perú,producto 9,79627.21200000001,tarjeta de credito,usuario 5
184,2022-05-06,20:49,Perú,producto 1,1131233.2658653846,efectivo,usuario 1
185,2022-05-06,17:07,Ecuador,producto 10,68856.48000000001,codigo QR,usuario 2
186,2022-05-07,09:01,Perú,producto 5,320625.0,transferencia,usuario 5
187,2022-05-07,18:55,Ecuador,producto 10,547649.1,tarjeta de debito,usuario 4
188,2022-05-08,09:19,México,producto 2,34218.288,efectivo,usuario 5
189,2022-05-08,18:32,Perú,producto 5,13962.564,codigo QR,usuario 5
190,2022-05-08,12:58,México,producto 2,132046.2,transferencia,usuario 3
191,2022-05-08,10:35,Argentina,producto 1,318697.2,tarjeta de credito,usuario 4
192,2022-05-08,18:34,México,producto 6,7302.96,otro,usuario 5
193,2022-05-09,19:27,Colombia,producto 7,2026.0368,tarjeta de debito,usuario 5
194,2022-05-10,17:16,Colombia,producto 4,74674.12680000001,tarjeta de debito,usuario 2
195,2022-05-11,11:15,Perú,producto 6,16686.0,otro,usuario 3
196,2022-05-11,14:39,Ecuador,producto 4,46674.3816,codigo QR,usuario 4
197,2022-05-12,14:24,México,producto 6,19530.72,transferencia,usuario 4
198,2022-05-12,10:17,Ecuador,producto 7,8978.688,transferencia,usuario 3
199,2022-05-13,15:01,México,producto 10,27165.600000000002,codigo QR,usuario 2
200,2022-05-14,14:17,Colombia,producto 8,317488.8461538462,codigo QR,usuario 1
201,2022-05-15,14:39,Colombia,producto 7,234522.0,tarjeta de debito,usuario 4
202,2022-05-16,20:18,Ecuador,producto 4,14884.695,codigo QR,usuario 3
203,2022-05-17,16:40,Colombia,producto 3,27624.239999999998,codigo QR,usuario 5
204,2022-05-18,10:51,Ecuador,producto 9,19590.273,transferencia,usuario 2
205,2022-05-18,13:51,Perú,producto 7,30650.4,otro,usuario 1
206,2022-05-19,19:14,Argentina,producto 9,18959.13,efectivo,usuario 1
207,2022-05-19,13:08,Ecuador,producto 10,294111.7788461539,tarjeta de debito,usuario 5
208,2022-05-19,15:40,México,producto 7,446387.22,transferencia,usuario 1
209,2022-05-20,10:29,México,producto 7,3434.92695,tarjeta de debito,usuario 5
210,2022-05-22,21:27,Ecuador,producto 3,804334.86,tarjeta de credito,usuario 5
211,2022-05-23,22:10,Perú,producto 2,281985.3,transferencia,usuario 5
212,2022-05-24,22:37,Perú,producto 5,12450.375,tarjeta de debito,usuario 2
213,2022-05-24,14:00,Ecuador,producto 4,467410.608,otro,usuario 4
214,2022-05-24,20:20,México,producto 4,27050.760000000002,tarjeta de credito,usuario 2
215,2022-05-25,15:31,Perú,producto 2,29074.7556,otro,usuario 1
216,2022-05-26,20:59,Colombia,producto 1,180148.5,tarjeta de credito,usuario 3
217,2022-05-26,16:21,Colombia,producto 2,3751.92,otro,usuario 4
218,2022-05-26,20:23,Ecuador,producto 9,26023.464,efectivo,usuario 1
219,2022-05-27,17:53,México,producto 1,501713.10000000003,tarjeta de credito,usuario 3
220,2022-05-29,20:31,Ecuador,producto 9,29728.44,tarjeta de credito,usuario 5
221,2022-05-30,10:11,México,producto 2,13662.0,tarjeta de debito,usuario 1
222,2022-05-31,19:44,Ecuador,producto 6,7411.5,tarjeta de debito,usuario 4
223,2022-05-31,18:45,Colombia,producto 9,54829.43136,otro,usuario 4
224,2022-05-31,09:02,Perú,producto 4,4083.1776000000004,efectivo,usuario 2
225,2022-06-01,19:37,Ecuador,producto 4,44936.1,efectivo,usuario 2
226,2022-06-02,19:28,Colombia,producto 7,150747.075,tarjeta de debito,usuario 1
227,2022-06-02,13:14,México,producto 1,958797.0,otro,usuario 5
228,2022-06-02,14:57,Perú,producto 4,180449.1,tarjeta de credito,usuario 3
229,2022-06-03,13:38,Perú,producto 5,20398.7322,transferencia,usuario 5
230,2022-06-03,17:36,Colombia,producto 6,3206.7630000000004,efectivo,usuario 4
231,2022-06-04,17:31,Ecuador,producto 2,114545.34000000001,tarjeta de credito,usuario 1
232,2022-06-04,11:15,México,producto 2,14335.2,tarjeta de debito,usuario 5
233,2022-06-05,10:32,Argentina,producto 9,36142.41708,tarjeta de credito,usuario 1
234,2022-06-08,12:20,Ecuador,producto 3,282005.91346153844,otro,usuario 3
235,2022-06-09,09:31,México,producto 2,11279.016,efectivo,usuario 1
236,2022-06-09,19:15,Ecuador,producto 10,40997.592,tarjeta de credito,usuario 2
237,2022-06-09,22:18,México,producto 7,157734.0,codigo QR,usuario 2
238,2022-06-10,16:52,Colombia,producto 7,30757.708800000004,efectivo,usuario 3
239,2022-06-11,12:45,México,producto 4,1471537.935,transferencia,usuario 2
240,2022-06-12,13:39,México,producto 2,2492773.9200000004,efectivo,usuario 4
241,2022-06-12,16:09,Argentina,producto 3,24942.06,tarjeta de credito,usuario 4
242,2022-06-12,10:12,México,producto 4,3852.3599999999997,efectivo,usuario 1
243,2022-06-13,09:04,Ecuador,producto 8,15267.689999999999,efectivo,usuario 1
244,2022-06-14,18:18,Argentina,producto 6,28676.7,codigo QR,usuario 4
245,2022-06-14,15:14,Argentina,producto 6,6064.615384615385,efectivo,usuario 2
246,2022-06-15,11:55,Argentina,producto 2,198586.2980769231,codigo QR,usuario 4
247,2022-06-16,19:52,México,producto 9,51410.620800000004,codigo QR,usuario 2
248,2022-06-16,10:35,Ecuador,producto 1,19331.676,tarjeta de credito,usuario 2
249,2022-06-18,14:07,Perú,producto 2,48670.713,tarjeta de debito,usuario 2
250,2022-06-19,18:23,Colombia,producto 7,12086.928,efectivo,usuario 3
251,2022-06-21,11:08,Argentina,producto 2,9268.938,efectivo,usuario 3
252,2022-06-21,15:34,México,producto 8,331808.4,codigo QR,usuario 2
253,2022-06-21,19:20,Colombia,producto 7,16232.328,efectivo,usuario 3
254,2022-06-21,13:18,Perú,producto 3,481852.8,transferencia,usuario 3
255,2022-06-22,15:12,Ecuador,producto 8,430680.88800000004,tarjeta de credito,usuario 5
256,2022-06-23,13:02,Argentina,producto 4,2102.184,tarjeta de debito,usuario 3
257,2022-06-24,09:08,Perú,producto 7,24251.04,efectivo,usuario 1
258,2022-06-26,11:36,Colombia,producto 2,30639.609000000004,otro,usuario 3
259,2022-06-28,14:53,Ecuador,producto 2,84489.78240000003,tarjeta de credito,usuario 2
260,2022-06-28,22:29,Perú,producto 8,6346.62,otro,usuario 5
261,2022-06-28,14:16,Argentina,producto 5,138299.80500000002,codigo QR,usuario 4
262,2022-06-29,13:42,Perú,producto 4,156170.46634615384,tarjeta de credito,usuario 4
263,2022-06-29,11:35,Colombia,producto 8,2224376.154,transferencia,usuario 1
264,2022-06-29,15:29,Argentina,producto 10,13706.28,codigo QR,usuario 3
265,2022-06-30,18:52,Colombia,producto 3,557442.0,codigo QR,usuario 3
266,2022-07-01,19:09,México,producto 9,25290.144,codigo QR,usuario 4
267,2022-07-02,15:05,México,producto 1,10755.36,tarjeta de debito,usuario 1
268,2022-07-03,18:33,Argentina,producto 1,94454.56730769231,tarjeta de credito,usuario 1
269,2022-07-03,19:30,Perú,producto 2,665556.6201923077,transferencia,usuario 2
270,2022-07-03,10:19,Colombia,producto 1,20396.772,tarjeta de credito,usuario 5
271,2022-07-04,11:54,Ecuador,producto 4,113056.479,tarjeta de credito,usuario 5
272,2022-07-05,09:39,México,producto 1,19465.881120000002,transferencia,usuario 3
273,2022-07-06,15:51,Colombia,producto 8,402527.16346153844,transferencia,usuario 1
274,2022-07-06,13:14,Colombia,producto 5,114655.9428,tarjeta de debito,usuario 2
275,2022-07-07,09:21,Argentina,producto 10,76054.11975,efectivo,usuario 2
276,2022-07-07,19:19,México,producto 3,2986.893,efectivo,usuario 2
277,2022-07-08,19:30,Perú,producto 6,60905.769230769234,otro,usuario 4
278,2022-07-08,09:06,Perú,producto 9,6936.615000000001,transferencia,usuario 2
279,2022-07-08,22:12,México,producto 10,1906437.708,tarjeta de debito,usuario 5
280,2022-07-08,17:11,Perú,producto 1,263557.8,efectivo,usuario 3
281,2022-07-09,21:38,Ecuador,producto 1,2557166.9760000003,tarjeta de credito,usuario 4
282,2022-07-09,21:09,Colombia,producto 4,3751.92,tarjeta de debito,usuario 1
283,2022-07-10,13:45,México,producto 7,32284.98,codigo QR,usuario 3
284,2022-07-10,11:59,Perú,producto 5,1079959.8115384616,otro,usuario 3
285,2022-07-10,19:29,Ecuador,producto 10,28282.39615384615,otro,usuario 2
286,2022-07-10,21:50,Argentina,producto 9,27588.556800000002,tarjeta de credito,usuario 5
287,2022-07-11,22:39,Colombia,producto 7,292832.82,transferencia,usuario 3
288,2022-07-12,20:36,México,producto 7,774947.25,tarjeta de debito,usuario 2
289,2022-07-12,13:55,Ecuador,producto 1,71210.7396,tarjeta de debito,usuario 2
290,2022-07-12,13:49,Perú,producto 8,2192430.24,transferencia,usuario 2
291,2022-07-13,13:56,Perú,producto 5,5309.712,codigo QR,usuario 3
292,2022-07-14,11:13,Colombia,producto 5,27624.239999999998,codigo QR,usuario 1
293,2022-07-15,19:06,Ecuador,producto 1,101137.06730769231,efectivo,usuario 5
294,2022-07-15,16:31,Colombia,producto 2,18200.04576923077,codigo QR,usuario 5
295,2022-07-15,22:07,México,producto 4,899974.8,transferencia,usuario 5
296,2022-07-15,21:29,México,producto 9,208009.62000000002,transferencia,usuario 2
297,2022-07-16,15:34,Argentina,producto 9,84114.45,otro,usuario 2
298,2022-07-16,13:20,Argentina,producto 1,43710.2568,tarjeta de debito,usuario 2
299,2022-07-16,11:31,Ecuador,producto 10,95882.40000000001,codigo QR,usuario 5
300,2022-07-17,22:47,Colombia,producto 3,31654.022399999998,tarjeta de credito,usuario 1
301,2022-07-17,20:50,Ecuador,producto 10,658324.8,tarjeta de debito,usuario 5
302,2022-07-18,11:11,Colombia,producto 2,186455.76923076922,transferencia,usuario 3
303,2022-07-18,11:51,México,producto 4,10852.961538461539,otro,usuario 2
304,2022-07-19,17:50,Argentina,producto 5,64486.74870000001,otro,usuario 4
305,2022-07-21,18:18,Ecuador,producto 7,63804.51000000001,efectivo,usuario 5
306,2022-07-21,19:46,Perú,producto 7,222037.2,efectivo,usuario 3
307,2022-07-24,10:41,Ecuador,producto 6,33490.50624,efectivo,usuario 5
308,2022-07-25,10:29,Argentina,producto 5,347160.28846153844,codigo QR,usuario 3
309,2022-07-25,19:33,Argentina,producto 2,220622.7375,tarjeta de debito,usuario 2
310,2022-07-25,16:39,Perú,producto 4,263373.3173076923,codigo QR,usuario 3
311,2022-07-25,18:58,Perú,producto 9,10867.100400000001,tarjeta de debito,usuario 2
312,2022-07-25,21:34,México,producto 3,15900.332400000001,tarjeta de credito,usuario 2
313,2022-07-27,12:26,Colombia,producto 7,756345.6,codigo QR,usuario 5
314,2022-07-28,12:17,Ecuador,producto 7,162050.625,transferencia,usuario 4
315,2022-07-29,16:52,Ecuador,producto 5,490549.5,efectivo,usuario 5
316,2022-07-29,14:26,Argentina,producto 6,29665.025279999998,transferencia,usuario 2
317,2022-07-30,15:59,Perú,producto 10,432306.0,tarjeta de debito,usuario 4
318,2022-08-01,15:04,Ecuador,producto 10,1587.4740000000002,efectivo,usuario 3
319,2022-08-02,11:05,México,producto 9,5705.424,tarjeta de debito,usuario 3
320,2022-08-02,12:32,Argentina,producto 4,64814.143679999994,tarjeta de credito,usuario 3
321,2022-08-04,18:28,Argentina,producto 9,84031.78679999999,efectivo,usuario 5
322,2022-08-05,10:38,Ecuador,producto 7,26378.055,tarjeta de credito,usuario 5
323,2022-08-05,22:45,Ecuador,producto 9,664448.4,codigo QR,usuario 5
324,2022-08-06,22:39,México,producto 9,106703.49375,otro,usuario 5
325,2022-08-06,10:11,México,producto 10,386694.0,efectivo,usuario 5
326,2022-08-06,17:20,México,producto 2,63409.040100000006,tarjeta de debito,usuario 1
327,2022-08-06,21:06,México,producto 1,6853.0644,codigo QR,usuario 4
328,2022-08-07,16:07,Colombia,producto 9,269000.48076923075,transferencia,usuario 5
329,2022-08-08,17:13,Ecuador,producto 4,22459.805549999997,otro,usuario 4
330,2022-08-08,19:54,Ecuador,producto 7,195230.57400000002,transferencia,usuario 1
331,2022-08-09,20:48,Colombia,producto 8,52862.5008,codigo QR,usuario 4
332,2022-08-09,20:37,Ecuador,producto 8,19134.9,tarjeta de debito,usuario 4
333,2022-08-11,11:25,México,producto 5,17002.44,efectivo,usuario 2
334,2022-08-11,12:17,México,producto 8,1180623.5595000002,transferencia,usuario 4
335,2022-08-11,16:48,México,producto 1,25343.9604,transferencia,usuario 5
336,2022-08-12,12:35,México,producto 5,1442339.325,tarjeta de credito,usuario 2
337,2022-08-12,16:31,Ecuador,producto 4,75950.784,efectivo,usuario 1
338,2022-08-12,14:27,Ecuador,producto 9,96985.44612,codigo QR,usuario 2
